County,Total population,White Number,White perc,White median income,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
        Estimate,"30,120","32,659",,,"20,676","22,479","68,387","19,486","13,614","14,629"
"Hamilton County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"370,913","263,665",,,"65,155",734,"7,230",113,"10,910","28,357"
    Percent Distribution,,,,,,,,,,
        Estimate,"370,913",71.10%,,,17.60%,0.20%,1.90%,0.00%,2.90%,7.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"43,484","49,596",,,"27,342","28,210","58,838","24,500","22,110","22,098"
"Hancock County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"6,790","6,574",,,30,0,25,0,22,74
    Percent Distribution,,,,,,,,,,
        Estimate,"6,790",96.80%,,,0.40%,0.00%,0.40%,0.00%,0.30%,1.10%
    Mean income (dollars),,,,,,,,,,
        Estimate,"24,037","24,416",,,"32,293",-,N,-,N,"7,151"
"Hardeman County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"25,477","13,772",,,"10,245",21,115,5,170,530
    Percent Distribution,,,,,,,,,,
        Estimate,"25,477",54.10%,,,40.20%,0.10%,0.50%,0.00%,0.70%,2.10%
    Mean income (dollars),,,,,,,,,,
        Estimate,"22,580","25,500",,,"19,903",633,"3,976",-,"7,402","8,614"
"Hardin County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"26,939","24,924",,,820,63,13,0,92,649
    Percent Distribution,,,,,,,,,,
        Estimate,"26,939",92.50%,,,3.00%,0.20%,0.00%,0.00%,0.30%,2.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,876","28,058",,,"15,299","64,924","23,915",-,"29,460","15,625"
"Hawkins County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"57,446","54,282",,,694,33,280,0,229,"1,058"
    Percent Distribution,,,,,,,,,,
        Estimate,"57,446",94.50%,,,1.20%,0.10%,0.50%,0.00%,0.40%,1.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,206","29,592",,,"23,416","23,015","24,970",-,"23,362","13,435"
"Haywood County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"17,672","7,697",,,"8,861",7,17,0,666,834
    Percent Distribution,,,,,,,,,,
        Estimate,"17,672",43.60%,,,50.10%,0.00%,0.10%,0.00%,3.80%,4.70%
    Mean income (dollars),,,,,,,,,,
        Estimate,"25,554","30,492",,,"21,211",N,N,-,"24,980","24,389"
"Henderson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"27,906","24,498",,,"2,125",31,35,0,250,793
    Percent Distribution,,,,,,,,,,
        Estimate,"27,906",87.80%,,,7.60%,0.10%,0.10%,0.00%,0.90%,2.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,722","28,210",,,"28,630",N,N,-,"10,247","16,890"
"Henry County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"32,345","28,274",,,"2,335",187,212,23,209,940
    Percent Distribution,,,,,,,,,,
        Estimate,"32,345",87.40%,,,7.20%,0.60%,0.70%,0.10%,0.60%,2.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,136","30,305",,,"23,344","7,933","17,478",N,"7,001","21,062"
"Hickman County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"25,229","22,919",,,911,148,132,0,90,782
    Percent Distribution,,,,,,,,,,
        Estimate,"25,229",90.80%,,,3.60%,0.60%,0.50%,0.00%,0.40%,3.10%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,512","28,775",,,"10,974","309,572","52,157",-,"58,841","25,110"
"Houston County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"8,293","7,715",,,241,28,30,0,15,245
    Percent Distribution,,,,,,,,,,
        Estimate,"8,293",93.00%,,,2.90%,0.30%,0.40%,0.00%,0.20%,3.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,169","28,258",,,"25,515","35,079",N,-,-,"2,189"
"Humphreys County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"19,074","17,290",,,370,10,88,0,456,525
    Percent Distribution,,,,,,,,,,
        Estimate,"19,074",90.60%,,,1.90%,0.10%,0.50%,0.00%,2.40%,2.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,868","32,100",,,"22,121","36,560","69,351",-,"5,664","16,697"
"Jackson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"11,882","11,091",,,55,26,0,6,36,302
    Percent Distribution,,,,,,,,,,
        Estimate,"11,882",93.30%,,,0.50%,0.20%,0.00%,0.10%,0.30%,2.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,572","28,070",,,"20,520","108,031",-,N,"30,422","15,829"
"Jefferson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"55,835","51,211",,,863,24,308,28,688,"2,525"
    Percent Distribution,,,,,,,,,,
        Estimate,"55,835",91.70%,,,1.50%,0.00%,0.60%,0.10%,1.20%,4.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"34,953","34,821",,,"21,605","9,833","50,495",N,"119,526","46,558"
"Johnson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"18,073","16,097",,,677,107,34,0,159,541
    Percent Distribution,,,,,,,,,,
        Estimate,"18,073",89.10%,,,3.70%,0.60%,0.20%,0.00%,0.90%,3.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,786","29,477",,,"16,726","1,741","24,274",-,"25,878","7,827"
"Knox County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"487,401","395,867",,,"39,710",795,"10,862",377,"9,513","29,579"
    Percent Distribution,,,,,,,,,,
        Estimate,"487,401",81.20%,,,8.10%,0.20%,2.20%,0.10%,2.00%,6.10%
    Mean income (dollars),,,,,,,,,,
