county,median_income,hispanic_pct,black_pct,poverty_pct,ba_plus_pct,county_fips,year,urban_rural
Scott,39744,0.6,99.8,25.7,10.2,47151,2022,Rural
Sequatchie,53038,2.6,96,22.3,18.6,47153,2022,Rural
Sevier,60103,4.9,93.1,13.3,20.1,47155,2022,Rural
Smith,57677,3.8,96.8,14.9,16.9,47159,2022,Rural
Stewart,57257,2.6,96.4,11.5,16.8,47161,2022,Rural
Tipton,70674,2.2,97.1,10.8,19.6,47167,2022,Rural
Trousdale,62018,4.3,97.1,11.5,9.8,47169,2022,Rural
Unicoi,49855,3.6,94.1,16.7,17.2,47171,2022,Rural
Union,57094,2,98,15.9,13.1,47173,2022,Rural
Warren,52948,7.1,90.5,16.8,14,47177,2022,Rural
Wayne,49360,1.5,97.6,19.6,12.2,47181,2022,Rural
Weakley,47769,1.4,97,18.9,20.1,47183,2022,Rural
White,48220,1.4,97.1,17.1,13.5,47185,2022,Rural
Wilson,89462,4.6,95,8.3,36.7,47189,2022,Rural
Bedford,62197,2,0.5,13.6,16.9,47003,2023,Rural
Benton,50435,2.1,0.2,18.5,12.4,47005,2023,Rural
Bledsoe,49655,1.1,0.9,25,8.8,47007,2023,Rural
Campbell,50260,1.1,0.3,19.2,13.2,47013,2023,Rural
Cannon,58092,1.4,0.1,16.5,16.9,47015,2023,Rural
Carroll,50391,1,0.1,16.4,18.9,47017,2023,Rural
Cheatham,82015,1.5,0.8,8.1,25.1,47021,2023,Rural
Chester,60543,0.8,0.3,15.6,19.2,47023,2023,Rural
Claiborne,46587,1.2,0.3,18.2,17.3,47025,2023,Rural
Clay,44712,1.1,0,21.7,12,47027,2023,Rural
Cocke,48416,1.3,0.8,20.3,11.6,47029,2023,Rural
Coffee,60656,1,0.8,16.1,22.9,47031,2023,Rural
Crockett,59049,2.9,0.1,14.8,15.7,47033,2023,Rural
Cumberland,58475,1,0.5,13.4,18.5,47035,2023,Rural
Decatur,46190,0.9,0.4,21.6,15,47039,2023,Rural
DeKalb,48484,1.1,0.4,21.4,20,47041,2023,Rural
Dickson,73223,1.4,0.2,9.9,21.4,47043,2023,Rural
Dyer,54973,1.3,0.1,17.9,21.6,47045,2023,Rural
Fayette,84764,1,0.1,10.8,26.9,47047,2023,Rural
Fentress,50865,1.3,0.1,20.9,15.3,47049,2023,Rural
Franklin,61553,1.4,0.3,12.7,23.1,47051,2023,Rural
Gibson,59009,2.7,0.2,13.4,19.1,47053,2023,Rural
Giles,61476,2.6,0,14.3,19.2,47055,2023,Rural
Grainger,51351,0.8,0,16.4,14.9,47057,2023,Rural
Greene,54071,1.1,0.4,15.2,17.7,47059,2023,Rural
Grundy,45573,2.9,0,19.2,12.4,47061,2023,Rural
Hancock,31995,0.7,0,31.5,8.6,47067,2023,Rural
Hardeman,46173,2.9,0.2,17.3,11.3,47069,2023,Rural
Hardin,49149,1,0.5,20.8,14.8,47071,2023,Rural
