County,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
        Estimate,"42,980","38,296","2,102",88,246,33,684,"1,614"
    Percent Distribution,,,,,,,,
        Estimate,"42,980",89.10%,4.90%,0.20%,0.60%,0.10%,1.60%,3.80%
    Mean income (dollars),,,,,,,,
        Estimate,"31,395","31,854","26,504","32,874","31,102",N,"23,599","21,234"
"Gibson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"50,455","38,755","8,061",127,136,8,725,"1,525"
    Percent Distribution,,,,,,,,
        Estimate,"50,455",76.80%,16.00%,0.30%,0.30%,0.00%,1.40%,3.00%
    Mean income (dollars),,,,,,,,
        Estimate,"27,742","29,557","23,410","28,394","36,731",N,"19,525","16,346"
"Giles County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"30,317","25,589","2,772",77,32,0,381,"1,001"
    Percent Distribution,,,,,,,,
        Estimate,"30,317",84.40%,9.10%,0.30%,0.10%,0.00%,1.30%,3.30%
    Mean income (dollars),,,,,,,,
        Estimate,"31,852","33,682","22,620","53,757",N,-,"14,010","15,061"
"Grainger County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"23,648","22,665",320,41,22,78,27,862
    Percent Distribution,,,,,,,,
        Estimate,"23,648",95.80%,1.40%,0.20%,0.10%,0.30%,0.10%,3.60%
    Mean income (dollars),,,,,,,,
        Estimate,"26,545","26,313","25,218","19,322","275,550",N,"14,133","19,199"
"Greene County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"70,399","65,527","1,217",150,343,87,360,"2,290"
    Percent Distribution,,,,,,,,
        Estimate,"70,399",93.10%,1.70%,0.20%,0.50%,0.10%,0.50%,3.30%
    Mean income (dollars),,,,,,,,
        Estimate,"28,237","29,159","15,863","13,471","27,518","23,134","34,977","15,419"
"Grundy County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"13,550","12,920",49,32,45,0,4,216
    Percent Distribution,,,,,,,,
        Estimate,"13,550",95.40%,0.40%,0.20%,0.30%,0.00%,0.00%,1.60%
    Mean income (dollars),,,,,,,,
        Estimate,"25,075","25,128","14,653","26,169","3,089",-,N,"36,516"
"Hamblen County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"64,531","55,250","2,131",297,580,237,"1,625","7,928"
    Percent Distribution,,,,,,,,
        Estimate,"64,531",85.60%,3.30%,0.50%,0.90%,0.40%,2.50%,12.30%
    Mean income (dollars),,,,,,,,
        Estimate,"27,845","29,585","18,800","18,758","61,690","12,788","11,599","11,932"
"Hamilton County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"367,193","266,269","65,680",550,"6,947",148,"7,780","22,890"
    Percent Distribution,,,,,,,,
        Estimate,"367,193",72.50%,17.90%,0.10%,1.90%,0.00%,2.10%,6.20%
    Mean income (dollars),,,,,,,,
        Estimate,"41,198","46,717","25,185","28,397","57,915","24,021","22,099","19,404"
"Hancock County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"6,726","6,507",37,0,36,0,16,47
    Percent Distribution,,,,,,,,
        Estimate,"6,726",96.70%,0.60%,0.00%,0.50%,0.00%,0.20%,0.70%
    Mean income (dollars),,,,,,,,
        Estimate,"24,120","24,535","21,465",-,N,-,N,"8,270"
"Hardeman County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"25,519","13,918","10,135",145,99,5,116,507
    Percent Distribution,,,,,,,,
        Estimate,"25,519",54.50%,39.70%,0.60%,0.40%,0.00%,0.50%,2.00%
    Mean income (dollars),,,,,,,,
        Estimate,"22,098","25,204","18,755","31,909","1,156",-,"10,738","10,149"
"Hardin County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"26,824","25,027",909,73,23,0,21,705
    Percent Distribution,,,,,,,,
        Estimate,"26,824",93.30%,3.40%,0.30%,0.10%,0.00%,0.10%,2.60%
    Mean income (dollars),,,,,,,,
        Estimate,"26,068","26,430","12,796","54,064","21,378",-,N,"13,715"
"Hawkins County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"57,107","54,099",594,38,263,79,226,"1,017"
    Percent Distribution,,,,,,,,
        Estimate,"57,107",94.70%,1.00%,0.10%,0.50%,0.10%,0.40%,1.80%
    Mean income (dollars),,,,,,,,
        Estimate,"28,648","29,157","17,717","21,879","25,551",N,"24,597","12,793"
"Haywood County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"17,806","7,883","8,946",6,22,0,601,766
    Percent Distribution,,,,,,,,
        Estimate,"17,806",44.30%,50.20%,0.00%,0.10%,0.00%,3.40%,4.30%
    Mean income (dollars),,,,,,,,
        Estimate,"26,031","30,713","22,209",N,N,-,"23,695","22,558"
"Henderson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"27,845","24,584","2,270",40,37,22,216,753
    Percent Distribution,,,,,,,,
        Estimate,"27,845",88.30%,8.20%,0.10%,0.10%,0.10%,0.80%,2.70%
    Mean income (dollars),,,,,,,,
        Estimate,"25,873","26,372","26,346",-,N,-,"7,852","10,577"
"Henry County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"32,305","28,304","2,393",176,114,14,180,916
    Percent Distribution,,,,,,,,
        Estimate,"32,305",87.60%,7.40%,0.50%,0.40%,0.00%,0.60%,2.80%
    Mean income (dollars),,,,,,,,
        Estimate,"28,098","29,026","25,166","7,886","11,582",N,"8,249","17,087"
"Hickman County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"24,996","22,741",876,119,218,8,97,719
    Percent Distribution,,,,,,,,
        Estimate,"24,996",91.00%,3.50%,0.50%,0.90%,0.00%,0.40%,2.90%
    Mean income (dollars),,,,,,,,
        Estimate,"27,764","27,246","7,781","381,263","26,547",N,N,"16,750"
"Houston County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"8,253","7,728",281,25,27,19,0,234
    Percent Distribution,,,,,,,,
        Estimate,"8,253",93.60%,3.40%,0.30%,0.30%,0.20%,0.00%,2.80%
    Mean income (dollars),,,,,,,,
        Estimate,"27,053","25,952","28,087","31,324",N,N,-,"1,556"
"Humphreys County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"19,032","17,358",237,34,146,0,356,517
    Percent Distribution,,,,,,,,
        Estimate,"19,032",91.20%,1.20%,0.20%,0.80%,0.00%,1.90%,2.70%
    Mean income (dollars),,,,,,,,
        Estimate,"29,561","30,824","28,990","24,756","29,294",-,"5,140","12,552"
"Jackson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"11,730","10,982",81,16,0,6,106,284
    Percent Distribution,,,,,,,,
        Estimate,"11,730",93.60%,0.70%,0.10%,0.00%,0.10%,0.90%,2.40%
    Mean income (dollars),,,,,,,,
        Estimate,"25,534","25,906","21,357","101,625",-,N,"13,230","17,744"
"Jefferson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"55,017","51,100",926,32,321,18,332,"2,128"
    Percent Distribution,,,,,,,,
        Estimate,"55,017",92.90%,1.70%,0.10%,0.60%,0.00%,0.60%,3.90%
    Mean income (dollars),,,,,,,,
        Estimate,"31,947","32,889","20,885","12,550","42,202",N,"17,395","16,360"
"Johnson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"17,982","16,459",657,102,29,0,107,405
    Percent Distribution,,,,,,,,
        Estimate,"17,982",91.50%,3.70%,0.60%,0.20%,0.00%,0.60%,2.30%
    Mean income (dollars),,,,,,,,
        Estimate,"26,627","27,076","16,344","10,595","28,586",-,"14,807","9,468"
"Knox County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"481,406","399,172","39,699",717,"10,931",285,"6,988","22,896"
    Percent Distribution,,,,,,,,
        Estimate,"481,406",82.90%,8.20%,0.10%,2.30%,0.10%,1.50%,4.80%
    Mean income (dollars),,,,,,,,
        Estimate,"39,608","41,905","25,909","29,023","52,152","47,702","19,752","20,566"
"Lake County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"6,898","4,561","1,771",52,20,13,93,200
    Percent Distribution,,,,,,,,
        Estimate,"6,898",66.10%,25.70%,0.80%,0.30%,0.20%,1.30%,2.90%
    Mean income (dollars),,,,,,,,
        Estimate,"19,695","21,223","19,140",N,N,-,"19,816","19,074"
"Lauderdale County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"25,171","15,132","8,654",89,77,0,253,725
    Percent Distribution,,,,,,,,
        Estimate,"25,171",60.10%,34.40%,0.40%,0.30%,0.00%,1.00%,2.90%
    Mean income (dollars),,,,,,,,
        Estimate,"24,358","28,451","18,121","14,848","11,495",-,"24,539","17,701"
"Lawrence County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"44,377","41,505",628,22,182,42,340,"1,128"
    Percent Distribution,,,,,,,,
        Estimate,"44,377",93.50%,1.40%,0.00%,0.40%,0.10%,0.80%,2.50%
    Mean income (dollars),,,,,,,,
        Estimate,"26,865","27,441","15,553","42,300","23,434",N,"7,224","22,499"
"Lewis County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"12,637","11,816",149,0,136,0,54,332
    Percent Distribution,,,,,,,,
        Estimate,"12,637",93.50%,1.20%,0.00%,1.10%,0.00%,0.40%,2.60%
    Mean income (dollars),,,,,,,,
        Estimate,"26,873","27,458","21,182",-,"8,195",-,"16,322","32,400"
"Lincoln County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"35,365","30,655","2,199",43,235,0,536,"1,363"
    Percent Distribution,,,,,,,,
        Estimate,"35,365",86.70%,6.20%,0.10%,0.70%,0.00%,1.50%,3.90%
    Mean income (dollars),,,,,,,,
        Estimate,"32,016","33,502","26,061","69,342","15,997",-,"19,611","15,216"
"Loudon County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"55,507","49,891",773,75,550,0,730,"5,307"
    Percent Distribution,,,,,,,,
        Estimate,"55,507",89.90%,1.40%,0.10%,1.00%,0.00%,1.30%,9.60%
    Mean income (dollars),,,,,,,,
        Estimate,"40,425","42,295","32,914","25,843","19,976",-,"26,310","20,718"
"McMinn County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"53,532","48,210","1,864",59,421,0,444,"2,421"
    Percent Distribution,,,,,,,,
        Estimate,"53,532",90.10%,3.50%,0.10%,0.80%,0.00%,0.80%,4.50%
    Mean income (dollars),,,,,,,,
        Estimate,"30,334","31,058","29,373","33,627","49,050",-,"20,604","15,919"
"McNairy County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"25,895","23,515","1,521",67,146,0,139,633
    Percent Distribution,,,,,,,,
        Estimate,"25,895",90.80%,5.90%,0.30%,0.60%,0.00%,0.50%,2.40%
    Mean income (dollars),,,,,,,,
        Estimate,"25,004","25,733","22,561",N,-,-,"18,037","41,009"
"Macon County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"25,365","23,262",178,21,97,0,362,"1,352"
    Percent Distribution,,,,,,,,
        Estimate,"25,365",91.70%,0.70%,0.10%,0.40%,0.00%,1.40%,5.30%
    Mean income (dollars),,,,,,,,
        Estimate,"24,979","25,948","3,525","48,138","29,493",-,"9,268","9,808"
"Madison County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"98,644","55,026","36,681",138,998,64,"2,601","4,219"
    Percent Distribution,,,,,,,,
        Estimate,"98,644",55.80%,37.20%,0.10%,1.00%,0.10%,2.60%,4.30%
    Mean income (dollars),,,,,,,,
        Estimate,"31,380","39,441","21,533","42,314","28,246",N,"14,393","15,638"
"Marion County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"28,852","26,560",838,22,149,0,235,609
    Percent Distribution,,,,,,,,
        Estimate,"28,852",92.10%,2.90%,0.10%,0.50%,0.00%,0.80%,2.10%
    Mean income (dollars),,,,,,,,
        Estimate,"29,314","29,535","22,288","36,768","28,429",-,"40,532","25,634"
"Marshall County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"34,567","30,960","1,629",112,204,0,408,"2,085"
    Percent Distribution,,,,,,,,
        Estimate,"34,567",89.60%,4.70%,0.30%,0.60%,0.00%,1.20%,6.00%
    Mean income (dollars),,,,,,,,
        Estimate,"32,225","33,583","18,139","15,384","26,192",-,"10,294","18,569"
"Maury County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"102,002","82,838","11,082",329,890,8,744,"6,747"
    Percent Distribution,,,,,,,,
        Estimate,"102,002",81.20%,10.90%,0.30%,0.90%,0.00%,0.70%,6.60%
    Mean income (dollars),,,,,,,,
        Estimate,"35,733","37,856","28,311","24,803","38,817",N,"15,488","25,276"
"Meigs County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"12,839","11,708",306,7,67,0,57,155
    Percent Distribution,,,,,,,,
        Estimate,"12,839",91.20%,2.40%,0.10%,0.50%,0.00%,0.40%,1.20%
    Mean income (dollars),,,,,,,,
        Estimate,"26,843","27,356","19,138",N,N,-,"33,200","27,494"
"Monroe County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"46,489","41,740",858,65,194,0,685,"2,124"
    Percent Distribution,,,,,,,,
        Estimate,"46,489",89.80%,1.80%,0.10%,0.40%,0.00%,1.50%,4.60%
    Mean income (dollars),,,,,,,,
        Estimate,"27,356","28,035","22,822","17,723","61,076",-,"22,880","19,240"
"Montgomery County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"222,305","145,652","44,841",890,"5,369",776,"5,386","23,819"
    Percent Distribution,,,,,,,,
        Estimate,"222,305",65.50%,20.20%,0.40%,2.40%,0.30%,2.40%,10.70%
    Mean income (dollars),,,,,,,,
